"abs-size href","w-full src","styles_productCard__name__pakbB","text-sm-2","font-normal","h-full href","w-full src 2","styles_skeletonLoading__7svpE 2","w-full src 3"
"https://mahally.com/products/1891860617/642305458/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=238&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/82722f18-d7a8-4a6d-8ef5-8019411e983f-500x500-QPsYDpGLYcECGZXnKBMbItOsyPGDlnzebPNnHVQj.jpg","عينة ايثاق من ميمو باريس 1.5 مل","13",".8","","","",""
"https://mahally.com/products/1891860617/566419720/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=239&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/0f6c42bb-cd25-4e65-98ad-c1458e04faf6-500x500-I3wcX0xxkNxRVZqwYIrlUSyDHo9LCjrYvwbETGGR.png","عينة ميمو باريس بوربون أو دو برفيوم 1.5 مل","13",".8","","","",""
"https://mahally.com/products/1891860617/261995053/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=240&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/bccb2d5e-0a00-483d-8a16-aeb24f3c7a30-500x500-RUvobxQEEe0qxInklak3ISAqi26EywVw4xtiHRLs.jpg","عينة ميمو باريس زانت 1.5 مل","13",".8","","","",""
"https://mahally.com/products/1891860617/2011340808/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=241&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/32c50f5d-b6a5-4ebc-896a-7579a6d41e9c-500x491.49149149149-3KpxngHrcewTEYKQGacGxNBqvgYpTdkpViw10SVT.jpg","تستر عطر بايريدو روز أوف نو مانز لاند أبسولو دي بارفيوم 100 مل","920","","","","",""
"https://mahally.com/products/1891860617/2033644265/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=242&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/4fa1cf3d-b5f9-40aa-b671-2062cbcfb19a-500x500-Tn6HRojG6B1M8SFWGiP632emHm1PN08s74u2NCNA.jpg","كارولينا هيريرا عطر باد بوي لو بارفان للرجال 100 مل + جل استحمام 100 مل","287",".5","","","",""
"https://mahally.com/products/1891860617/290562467/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=243&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/49dc81bc-72ca-4dbc-8d1a-0e211a375e12-500x500-nbC9mD2mdzIQbkrqREKWU3cIfaaX8fhwVC3Tqhv5.webp","جيفنشي باي أو دو تواليت 100 مل","241",".5","https://mahally.com/products/1891860617/290562467/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=243&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/be6a8847-2517-48f7-a12a-75a062561a8b-1000x1000-xVn6NM0HLo6itQjYkEy77OpueYT70HheCmgSfRp5.webp","‌","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/1a59f79d-d122-426a-99dd-b572435fcb83-1000x1000-fot7XVwus7Rfe6o45WkWyOBQl4ne22WPez2I2vAQ.png"
"https://mahally.com/products/1891860617/620241349/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=244&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/6c137179-4cc5-4696-9401-cf3fe4a2ca01-500x500-NI4rZeJkqnX9oI5tepL6NCxYwZ9QlLd6ZIRCB2o9.jpg","عطر بي دي كي امباديا او دو بارفيوم 100مل","908",".5","","","",""
"https://mahally.com/products/1891860617/217454987/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=245&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/e05f80fc-ce39-41e1-a793-7685637498b3-500x500-TfUAM8zQUNz5fbmvvn7H3dHu1PIklLFrYN5pHI4U.jpg","تستر بنهاليجنز بالم اوف كالم او دو برفيوم 100 مل","908",".5","","","",""
"https://mahally.com/products/1891860617/1262052815/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=246&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/3df7b30d-d17a-40d4-9af2-ca6be49689dd-500x500-KXzH5U6JxkTSCH5QnRoNFke3QOuonIBGTFhTVRPA.jpg","زيرجوف ديكاس أو دي بارفيوم 100مل","897","","","","",""
"https://mahally.com/products/1891860617/1880724739/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=247&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/7b6b190a-d0aa-4d27-a175-5b1ff8985656-500x500-wS1nGhs4IEfkPZnjJX5txRY4pOtTwledkr0jOcpn.jpg","تستر عطر جيرلان توباك صحاري اودي برفيو 125مل","862",".5","","","",""
