"abs-size href","w-full src","styles_productCard__name__pakbB","text-sm-2","font-normal","absolute","text-xs-2","font-normal 2"
"https://mahally.com/products/1951545756/72784078/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=14&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/853c18e1-b874-4ea8-a4f0-3b23833ba25c-500x500-AItkd7EZZS39TBqZOi0569Kx7kcCGo1Amg5i9d9P.png","عطر توم فورد توسكان ليذر او دو بارفيوم 30مل","732",".55","","",""
"https://mahally.com/products/1951545756/1602112476/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=15&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b4c9f3c2-62e7-4915-996f-bc44ba714c0e-500x500-T6iHrOiTeDXkxsfwsBsttFCvkmWvZYOQa2XMbiP4.png","عطر توم فورد عود وود او دو بارفيوم 30مل","690","","","",""
"https://mahally.com/products/1951545756/1544320346/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=16&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/331f5f8e-9001-4e19-9cb8-8a72677838a7-500x500-u0vQrW5gU4jpdt44pCkY8wpz6a24m0wZEafbCqU9.png","توم فورد سانتال بلاش أو دي بارفان سبراي 30 مل","678",".5","","",""
"https://mahally.com/products/1951545756/41841380/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=17&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0e01ad36-0449-43f1-ad83-de07a7fd5875-500x500-RofuEPiWSx2jYyE4ALRs1dBPLZf0UYoU47TQIB6m.png","توم فورد - فانيل فاتال أو دو بارفان سبراي 30","661",".25","","",""
"https://mahally.com/products/1951545756/266438408/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=18&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ddb9744c-286f-4109-be83-e45ecbb7bdff-500x500-3Cvrnytyg4GFRG630MuUCbfQ35VezgmDyg9OPKq2.png","عطر توم فورد سولاي سوليل بلانك او دو بارفيوم 30مل","615",".25","","",""
"https://mahally.com/products/1951545756/1572674157/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=19&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bdb226e1-990d-482c-b038-2fb0fb004f44-500x500-6kc2SD2oqGDu4r9Lp6Kq49lZCJ1YNrbGz9FWlrNO.png","توم فورد توباكو فانيل 30 مل","552","","","",""
"https://mahally.com/products/1951545756/975677984/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=20&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ad44d6b0-4c03-431c-9737-4008a64e3a63-500x500-ikXI24cbvf5TKBkyFs3uT77EhMQmciKevy9VbSNX.png","زيت جسم توم فورد سوليل بلانك 100مل","535",".9","","",""
"https://mahally.com/products/1951545756/1106782593/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=21&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/31536c18-9cb4-4a80-b181-235b9668d0c4-500x500-kH709zstS9hpMJh7xhiskr6RpTt6DtsBFCBDpf5l.png","توم فورد Soleil Neige زيت لامع للجسم 101 مل","488",".75","","",""
"https://mahally.com/products/1951545756/1275533902/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=22&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0f6d49c9-b581-45b4-aff3-35ed4b530a7f-500x500-HDDUfwWcCRx8sgaYkcV3MNvnl9IIXnUmn6eapgUL.png","توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل","362",".25","","",""
"https://mahally.com/products/1951545756/1622435294/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=23&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5a3548e8-6c56-492c-81ba-22362c1377bd-500x500-cfpekdPt9lQgRULzOlnmkfXMmTOhhSuRB9qw78UA.png","معطر جسم توم فورد توسكان ليذر 150مل","347",".3","- 12%","396",".75"
